count,title,salary
7756,Engineer,40000
5185,Senior Engineer,40000
4448,Senior Staff,40000
3247,Staff,40000
1413,Technique Leader,40000
1044,Assistant Engineer,40000
5,Engineer,46925
5,Senior Staff,69663
5,Engineer,49062
5,Engineer,51896
4,Engineer,40777
4,Senior Staff,61615
4,Engineer,42858
4,Engineer,43166
4,Engineer,58307
4,Senior Engineer,55739
4,Engineer,46720
4,Engineer,40596
4,Staff,56561
4,Senior Staff,61163
4,Staff,61243
4,Engineer,52491
4,Staff,53303
4,Engineer,47834
4,Engineer,46924
4,Engineer,45050
4,Engineer,49338
4,Engineer,40750
4,Engineer,54917
4,Engineer,40283
4,Senior Staff,65998
4,Senior Engineer,50999
4,Engineer,51267
4,Engineer,48194
4,Senior Staff,44866
4,Senior Staff,63056
4,Engineer,52918
4,Engineer,57470
4,Senior Engineer,44861
4,Senior Engineer,51449
4,Senior Staff,49535
4,Engineer,65530
4,Engineer,51639
4,Senior Staff,62897
4,Engineer,44558
4,Senior Staff,71600
4,Engineer,46186
4,Engineer,57574
4,Senior Staff,65175
4,Engineer,58142
4,Senior Staff,50256
4,Engineer,44569
4,Senior Staff,66997
4,Senior Staff,66622
4,Engineer,55791
3,Engineer,47971
3,Staff,68151
3,Senior Engineer,40368
3,Senior Staff,62613
3,Senior Staff,46731
3,Senior Engineer,52483
3,Senior Staff,52210
3,Engineer,47917
3,Senior Staff,52876
3,Senior Staff,42835
3,Senior Staff,71576
3,Senior Staff,63235
3,Engineer,53008
3,Engineer,52964
3,Staff,63339
3,Engineer,42981
3,Senior Engineer,42088
3,Engineer,43804
3,Engineer,45000
3,Senior Staff,40261
3,Senior Engineer,59927
3,Senior Staff,72913
3,Engineer,46484
3,Engineer,43885
3,Staff,60302
3,Engineer,40343
3,Senior Staff,67163
3,Senior Staff,41603
3,Senior Staff,73262
3,Engineer,58624
3,Senior Engineer,40313
3,Senior Engineer,45678
3,Engineer,52697
3,Engineer,46274
3,Engineer,45088
3,Senior Engineer,42133
3,Engineer,49350
3,Senior Engineer,56015
3,Engineer,44729
3,Senior Staff,52648
3,Senior Staff,44341
3,Engineer,59707
3,Engineer,70270
3,Senior Staff,65346
3,Senior Engineer,41657
3,Senior Staff,71667
3,Senior Engineer,44737
3,Staff,59085
3,Senior Engineer,48108
3,Senior Staff,50676
3,Senior Staff,45030
3,Senior Engineer,48524
3,Engineer,43426
3,Engineer,50486
3,Senior Engineer,55944
3,Senior Staff,88769
3,Senior Staff,48146
3,Engineer,56199
3,Engineer,42231
3,Senior Staff,60229
3,Engineer,50783
3,Engineer,50216
3,Engineer,40072
3,Senior Engineer,41878
3,Senior Staff,71078
3,Staff,47582
3,Engineer,58383
3,Staff,53712
3,Senior Engineer,47903
3,Engineer,50032
3,Senior Staff,78174
3,Engineer,41332
3,Engineer,50887
3,Engineer,60206
3,Engineer,57102
3,Staff,40287
3,Senior Staff,64135
3,Engineer,46011
3,Senior Staff,52659
3,Engineer,44027
3,Senior Staff,46925
3,Senior Staff,62180
3,Senior Staff,73867
3,Staff,52138
3,Engineer,40823
3,Staff,59664
3,Engineer,44564
3,Engineer,41947
3,Engineer,48400
3,Staff,55474
3,Engineer,52238
3,Engineer,49078
3,Senior Engineer,41111
3,Engineer,53227
3,Engineer,50203
3,Senior Engineer,43199
3,Engineer,55020
3,Senior Staff,61073
3,Staff,53813
3,Senior Staff,54723
3,Engineer,51720
3,Engineer,44489
3,Senior Engineer,50402
3,Senior Staff,61697
3,Engineer,46143
3,Senior Engineer,40057
3,Senior Staff,51113
3,Senior Staff,74177
3,Senior Engineer,41545
3,Senior Staff,52849
3,Senior Engineer,45207
3,Senior Staff,66797
3,Engineer,47819
3,Engineer,54060
3,Engineer,54338
3,Engineer,40847
3,Engineer,52470
3,Senior Engineer,49036
3,Engineer,56023
3,Senior Staff,57348
3,Staff,52065
3,Senior Staff,54398
3,Engineer,60183
3,Engineer,53918
3,Engineer,48421
3,Engineer,53201
3,Senior Engineer,42889
3,Engineer,44820
3,Senior Staff,58429
3,Engineer,44296
3,Senior Staff,48271
3,Senior Staff,67936
3,Engineer,58092
3,Engineer,50109
3,Senior Engineer,52474
3,Engineer,42770
3,Engineer,41680
3,Senior Engineer,45857
3,Staff,77458
3,Senior Engineer,46005
3,Engineer,42603
3,Engineer,41725
3,Senior Staff,45963
3,Senior Staff,44973
3,Staff,75400
3,Engineer,50867
3,Senior Engineer,48998
3,Senior Engineer,53925
3,Senior Engineer,40969
3,Engineer,50787
3,Engineer,43478
3,Staff,76559
3,Senior Engineer,40469
3,Engineer,56046
3,Engineer,59605
3,Engineer,42252
3,Senior Staff,55396
3,Staff,57454
3,Engineer,45248
3,Staff,46530
3,Staff,78446
3,Engineer,49335
3,Staff,49547
3,Senior Staff,74905
3,Senior Staff,53971
3,Engineer,50377
3,Senior Staff,56677
3,Senior Staff,76829
3,Staff,58014
3,Senior Engineer,41957
3,Engineer,42397
3,Engineer,44560
3,Engineer,53194
3,Senior Staff,65758
3,Senior Staff,60044
3,Engineer,63358
3,Engineer,45540
3,Senior Staff,77316
3,Engineer,40594
3,Senior Staff,43699
3,Engineer,45338
3,Engineer,43824
3,Engineer,53465
3,Engineer,50952
3,Senior Engineer,57834
3,Senior Staff,55130
3,Senior Staff,77921
3,Engineer,47175
3,Engineer,51617
3,Staff,57437
3,Engineer,44330
3,Senior Engineer,64179
3,Senior Staff,46666
3,Senior Engineer,40818
3,Staff,40648
3,Senior Staff,60518
3,Senior Engineer,54972
3,Engineer,50295
3,Engineer,51022
3,Senior Engineer,40923
3,Staff,74780
3,Engineer,41763
3,Staff,52341
3,Staff,69068
3,Engineer,56464
3,Engineer,59169
3,Senior Staff,60178
3,Senior Staff,46394
3,Senior Staff,44967
3,Senior Staff,64785
3,Senior Staff,52970
3,Senior Engineer,57773
3,Senior Staff,74026
3,Engineer,55031
3,Senior Staff,61699
3,Senior Engineer,47817
3,Senior Staff,81080
3,Senior Staff,68953
3,Engineer,41854
3,Engineer,49102
3,Staff,71607
3,Senior Engineer,45497
3,Engineer,42453
3,Senior Staff,54340
3,Senior Staff,43331
3,Engineer,42118
3,Staff,67482
3,Engineer,49164
3,Senior Engineer,59160
3,Senior Engineer,57280
3,Engineer,41309
3,Engineer,40034
3,Senior Staff,59678
3,Senior Engineer,40376
3,Engineer,51944
3,Senior Engineer,60504
3,Senior Staff,52039
3,Senior Staff,58492
3,Senior Staff,67197
3,Staff,73490
3,Staff,64432
3,Senior Engineer,51519
3,Engineer,50840
3,Senior Engineer,40935
3,Engineer,45572
3,Senior Engineer,57741
3,Senior Staff,69666
3,Senior Staff,46034
3,Engineer,41303
3,Engineer,52142
3,Senior Staff,43916
3,Engineer,46490
3,Engineer,46415
3,Technique Leader,53039
3,Senior Staff,55418
3,Engineer,40364
3,Engineer,41012
3,Engineer,45692
3,Senior Engineer,48552
3,Engineer,52311
3,Engineer,55805
3,Staff,72191
3,Engineer,55629
3,Senior Engineer,48966
3,Engineer,54843
3,Staff,70580
3,Engineer,48528
3,Engineer,42538
3,Engineer,40800
3,Engineer,48994
3,Senior Staff,64885
3,Senior Staff,61784
3,Senior Staff,50029
3,Senior Staff,78162
3,Senior Staff,59967
3,Engineer,67308
3,Senior Engineer,52427
3,Engineer,40462
3,Senior Engineer,50832
3,Senior Staff,72590
3,Senior Engineer,60087
3,Senior Staff,63987
3,Engineer,56711
3,Engineer,55532
3,Engineer,40417
3,Senior Staff,63761
3,Engineer,47883
3,Engineer,61017
3,Engineer,45760
3,Senior Staff,40913
3,Senior Engineer,47079
3,Engineer,54916
3,Engineer,59410
3,Staff,63618
3,Engineer,44413
3,Senior Engineer,46316
3,Engineer,55574
3,Senior Staff,73003
3,Engineer,49014
3,Engineer,48147
3,Engineer,46848
3,Engineer,42016
3,Senior Engineer,47038
3,Senior Staff,69847
3,Staff,64871
3,Senior Engineer,48774
3,Engineer,46556
3,Senior Staff,65983
3,Senior Staff,66630
3,Engineer,56593
3,Engineer,56143
3,Staff,62005
3,Engineer,48764
3,Senior Engineer,47878
3,Engineer,41940
3,Engineer,42684
3,Staff,73334
3,Engineer,51215
3,Senior Staff,55459
3,Engineer,41810
3,Senior Engineer,46336
3,Senior Engineer,55879
3,Senior Staff,60924
3,Engineer,56730
3,Engineer,41674
3,Senior Staff,56051
3,Senior Engineer,48692
3,Senior Staff,56853
3,Staff,62188
3,Engineer,47946
3,Engineer,42872
3,Senior Engineer,52251
3,Engineer,51419
3,Engineer,48708
3,Senior Engineer,53738
3,Engineer,40927
3,Engineer,44462
3,Engineer,46995
3,Senior Engineer,52122
3,Senior Engineer,41450
3,Engineer,40790
3,Senior Staff,63144
3,Staff,44193
3,Engineer,70899
3,Staff,64476
3,Senior Staff,43821
3,Senior Engineer,49841
3,Senior Engineer,42023
3,Engineer,43088
3,Senior Staff,76120
3,Senior Staff,47555
3,Senior Staff,60594
